LAND1;BLAND;BEZEI
AZ;AGU;Ağsu
AZ;AST;Astara
AZ;BA;Bakı
AZ;BAB;Babək
AZ;BAL;Balakən
AZ;BAR;Bərdə
AZ;BEY;Beyləqan
AZ;BIL;Biləsuvar
AZ;CAB;Cəbrayıl
AZ;CAL;Cəlilabad
AZ;CUL;Culfa
AZ;DAS;Daşkəsən
AZ;FUZ;Füzuli
AZ;GA;Gəncə
AZ;GAD;Gədəbəy
AZ;GOR;Goranboy
AZ;GOY;Göyçay
AZ;GYG;Göygöl
AZ;HAC;Hacıqabul
AZ;IMI;İmişli
AZ;ISM;İsmayıllı
AZ;KAL;Kəlbəcər
AZ;KAN;Kəngərli
AZ;KUR;Kürdəmir
AZ;LA;Lənkəran(city)
AZ;LAC;Laçın
AZ;LAN;Lənkəran(region)
AZ;LER;Lerik
AZ;MAS;Masallı
AZ;MI;Mingəçevir
AZ;NA;Naftalan
AZ;NEF;Neftçala
AZ;NV;Naxçıvan
AZ;OGU;Oğuz
AZ;ORD;Ordubad
AZ;QAB;Qəbələ
AZ;QAX;Qax
AZ;QAZ;Qazax
AZ;QBA;Quba
AZ;QBI;Qubadlı
AZ;QOB;Qobustan
AZ;QUS;Qusar
AZ;SA;Şəki(city)
AZ;SAB;Sabirabad
AZ;SAD;Sədərək
AZ;SAH;Şahbuz
AZ;SAK;Şəki(region)
AZ;SAL;Salyan
AZ;SAR;Şərur
AZ;SAT;Saatlı
AZ;SBN;Şabran
AZ;SIY;Siyəzən
AZ;SKR;Şəmkir
AZ;SM;Sumqayıt
AZ;SMI;Şamaxı
AZ;SMX;Samux
AZ;SR;Şirvan
AZ;SUS;Şuşa
AZ;TAR;Tərtər
AZ;TOV;Tovuz
AZ;UCA;Ucar
AZ;XA;Xankəndi
AZ;XAC;Xaçmaz
AZ;XCI;Xocalı
AZ;XIZ;Xızı
AZ;XVD;Xocavənd
AZ;YAR;Yardımlı
AZ;YE;Yevlax(city)
AZ;YEV;Yevlax(region)
AZ;ZAN;Zəngilan
AZ;ZAQ;Zaqatala
AZ;ZAR;Zərdab
BA;BIH;Fed.Bosnia&Herzeg.
BA;BRC;Brčkodistrict
BA;SRP;RepublikaSrpska
BD;01;Bandarban
BD;02;Barguna
BD;03;Bogra
BD;04;Brahmanbaria
BD;05;Bagerhat
BD;06;Barisal
BD;07;Bhola
BD;08;Comilla
BD;09;Chandpur
BD;10;Chittagong
BD;11;Cox'sBazar
BD;12;Chuadanga
BD;13;Dhaka
BD;14;Dinajpur
BD;15;Faridpur
BD;16;Feni
BD;17;Gopalganj
BD;18;Gazipur
BD;19;Gaibandha
BD;20;Habiganj
BD;21;Jamalpur
BD;22;Jessore
BD;23;Jhenaidah
BD;24;Joypurhat
BD;25;Jhalakathi
BD;26;Kishoreganj
BD;27;Khulna
BD;28;Kurigram
BD;29;Khagrachhari
BD;30;Kushtia
BD;31;Lakshmipur
BD;32;Lalmonirhat
BD;33;Manikganj
BD;34;Mymensingh
BD;35;Munshiganj
BD;36;Madaripur
BD;37;Magura
BD;38;Moulvibazar
BD;39;Meherpur
BD;40;Narayanganj
BD;41;Netrakona
BD;42;Narsingdi
BD;43;Narail
BD;44;Natore
BD;45;ChapaiNawabganj
BD;46;Nilphamari
BD;47;Noakhali
BD;48;Naogaon
BD;49;Pabna
BD;50;Pirojpur
BD;51;Patuakhali
BD;52;Panchagarh
BD;53;Rajbari
BD;54;Rajshahi
BD;55;Rangpur
BD;56;Rangamati
BD;57;Sherpur
BD;58;Satkhira
BD;59;Sirajganj
BD;60;Sylhet
BD;61;Sunamganj
BD;62;Shariatpur
BD;63;Tangail
BD;64;Thakurgaon
BE;01;Antwerp
BE;02;Brabant(Flemish)
BE;03;Hainaut
BE;04;Liege
BE;05;Limburg
BE;06;Luxembourg
BE;07;Namur
BE;08;Oost-Vlaanderen
BE;09;West-Vlaanderen
BE;10;Brabant(Walloon)
BE;11;Brussels(Capital)
BE;BRU;Brussels-CapitalReg
BE;VAN;Antwerp
BE;VBR;FlemishBrabant
BE;VLI;Limburg
BE;VOV;EastFlanders
BE;VWV;WestFlanders
BE;WBR;WalloonBrabant
BE;WHT;Hainaut
BE;WLG;Liege
BE;WLX;Luxembourg
BE;WNA;Namur
BF;BAL;Balé
BF;BAM;Bam
BF;BAN;Banwa
BF;BAZ;Bazèga
BF;BGR;Bougouriba
BF;BLG;Boulgou
BF;BLK;Boulkiemdé
BF;COM;Comoé
BF;GAN;Ganzourgou
BF;GNA;Gnagna
BF;GOU;Gourma
BF;HOU;Houet
BF;IOB;Ioba
BF;KAD;Kadiogo
BF;KEN;Kénédougou
BF;KMD;Komondjari
BF;KMP;Kompienga
BF;KOP;Koulpélogo
BF;KOS;Kossi
BF;KOT;Kouritenga
BF;KOW;Kourwéogo
BF;LER;Léraba
BF;LOR;Loroum
BF;MOU;Mouhoun
BF;NAM;Namentenga
BF;NAO;Nahouri
BF;NAY;Nayala
BF;NOU;Noumbiel
BF;OUB;Oubritenga
BF;OUD;Oudalan
BF;PAS;Passoré
BF;PON;Poni
BF;SEN;Séno
BF;SIS;Sissili
BF;SMT;Sanmatenga
BF;SNG;Sanguié
BF;SOM;Soum
BF;SOR;Sourou
BF;TAP;Tapoa
BF;TUI;Tuy
BF;YAG;Yagha
BF;YAT;Yatenga
BF;ZIR;Ziro
BF;ZON;Zondoma
BF;ZOU;Zoundwéogo
BG;01;Blagoevgrad
BG;02;Burgas
BG;03;Varna
BG;04;VelikoTarnovo
BG;05;Vidin
BG;06;Vratsa
BG;07;Gabrovo
BG;08;Dobrich
BG;09;Kardzhali
BG;10;Kyustendil
BG;11;Lovech
BG;12;Montana
BG;13;Pazardzhik
BG;14;Pernik
BG;15;Pleven
BG;16;Plovdiv
BG;17;Razgrad
BG;18;Ruse
BG;19;Silistra
BG;20;Sliven
BG;21;Smolyan
BG;22;Sofia-Grad
BG;23;Sofia
BG;24;StaraZagora
BG;25;Targovishte
BG;26;Haskovo
BG;27;Shumen
BG;28;Yambol
BH;13;CapitalGovernorate
BH;14;SouthernGovernorate
BH;15;MuharraqGovernorate
BH;17;NorthernGovernorate
BI;BB;Bubanza
BI;BL;BujumburaRural
BI;BM;BujumburaMairie
BI;BR;Bururi
BI;CA;Cankuzo
BI;CI;Cibitoke
BI;GI;Gitega
BI;KI;Kirundo
BI;KR;Karuzi
BI;KY;Kayanza
BI;MA;Makamba
BI;MU;Muramvya
BI;MW;Mwaro
BI;MY;Muyinga
BI;NG;Ngozi
BI;RM;Rumonge
BI;RT;Rutana
BI;RY;Ruyigi
BJ;AK;Atacora
BJ;AL;Alibori
BJ;AQ;Atlantique
BJ;BO;Borgou
BJ;CO;Collines
BJ;DO;Donga
BJ;KO;Couffo
BJ;LI;Littoral
BJ;MO;Mono
BJ;OU;Ouémé
BJ;PL;Plateau
BJ;ZO;Zou
BN;BE;Belait
BN;BM;Brunei-Muara
BN;TE;Temburong
BN;TU;Tutong
BO;B;Beni
BO;C;Cochabamba
BO;H;Chuquisaca
BO;L;LaPaz
BO;N;Pando
BO;O;Oruro
BO;P;Potosí
BO;S;SantaCruz
BO;T;Tarija
BQ;BO;Bonaire
BQ;SA;Saba
BQ;SE;SintEustatius
BR;AC;Acre
BR;AL;Alagoas
BR;AM;Amazon
BR;AP;Amapa
BR;BA;Bahia
BR;CE;Ceara
BR;DF;Brasilia
BR;ES;EspiritoSanto
BR;GO;Goias
BR;MA;Maranhao
BR;MG;MinasGerais
BR;MS;MatoGrossodoSul
BR;MT;MatoGrosso
BR;PA;Para
BR;PB;Paraiba
BR;PE;Pernambuco
BR;PI;Piaui
BR;PR;Parana
BR;RJ;RiodeJaneiro
BR;RN;RioGrandedoNorte
BR;RO;Rondonia
BR;RR;Roraima
BR;RS;RioGrandedoSul
BR;SC;SantaCatarina
BR;SE;Sergipe
BR;SP;SaoPaulo
BR;TO;Tocantins
BS;AK;Acklins
BS;BI;Bimini
BS;BP;BlackPoint
BS;BY;BerryIslands
BS;CE;CentralEleuthera
BS;CI;CatIsland
BS;CK;CrookedIsl.&L.Cay
BS;CO;CentralAbaco
BS;CS;CentralAndros
BS;EG;EastGrandBahama
BS;EX;Exuma
BS;FP;Freeport
BS;GC;GrandCay
BS;HI;HarbourIsland
BS;HT;HopeTown
BS;IN;Inagua
BS;LI;LongIsland
BS;MC;MangroveCay
BS;MG;Mayaguana
BS;MI;Moore'sIsland
BS;NE;NorthEleuthera
BS;NO;NorthAbaco
BS;NP;NewProvidence
BS;NS;NorthAndros
BS;RC;RumCay
BS;RI;RaggedIsland
BS;SA;SouthAndros
BS;SE;SouthEleuthera
BS;SO;SouthAbaco
BS;SS;SanSalvador
BS;SW;SpanishWells
BS;WG;WestGrandBahama
BT;11;Paro
BT;12;Chhukha
BT;13;Haa
BT;14;Samtse
BT;15;Thimphu
BT;21;Tsirang
BT;22;Dagana
BT;23;Punakha
BT;24;WangduePhodrang
BT;31;Sarpang
BT;32;Trongsa
BT;33;Bumthang
BT;34;Zhemgang
BT;41;Trashigang
BT;42;Monggar
BT;43;Pemagatshel
BT;44;Lhuentse
BT;45;SamdrupJongkhar
BT;GA;Gasa
BT;TY;TrashiYangtse
BW;CE;Central
BW;CH;Chobe
BW;FR;Francistown
BW;GA;Gaborone
BW;GH;Ghanzi
BW;JW;Jwaneng
BW;KG;Kgalagadi
BW;KL;Kgatleng
BW;KW;Kweneng
BW;LO;Lobatse
BW;NE;NorthEast
BW;NW;NorthWest
BW;SE;SouthEast
BW;SO;Southern
BW;SP;SelibePhikwe
BW;ST;SowaTown
BY;BR;BrestRegion
BY;HM;CityofMinsk
BY;HO;GomelRegion
BY;HR;GrodnoRegion
BY;MA;MogilevRegion
BY;MI;MinskRegion
BY;VI;VitebskRegion
BZ;BZ;Belize
BZ;CY;Cayo
BZ;CZL;Corozal
BZ;OW;OrangeWalk
BZ;SC;StannCreek
BZ;TOL;Toledo
CA;AB;Alberta
CA;BC;BritishColumbia
CA;MB;Manitoba
CA;NB;NewBrunswick
CA;NL;Newfoundland&Labr.
CA;NS;NovaScotia
CA;NT;NorthwestTerr.
CA;NU;Nunavut
CA;ON;Ontario
CA;PE;PrinceEdwardIsland
CA;QC;Quebec
CA;SK;Saskatchewan
CA;YT;YukonTerritory
CD;BC;KongoCentral
CD;BU;Bas-Uélé
CD;EQ;Équateur
CD;HK;Haut-Katanga
CD;HL;Haut-Lomami
CD;HU;Haut-Uélé
CD;IT;Ituri
CD;KC;KasaïCentral
CD;KE;Kasai-Oriental
CD;KG;Kwango
CD;KL;Kwilu
CD;KN;Kinshasa
CD;KS;Kasaï
CD;LO;Lomami
CD;LU;Lualaba
CD;MA;Maniema
CD;MN;Mai-Ndombe
CD;MO;Mongala
CD;NK;Nord-Kivu
CD;NU;Nord-Ubangi
CD;SA;Sankuru
CD;SK;Sud-Kivu
CD;SU;Sud-Ubangi
CD;TA;Tanganyika
CD;TO;Tshopo
CD;TU;Tshuapa
CF;AC;Ouham
CF;BB;Bamingui-Bangoran
CF;BGF;Bangui
CF;BK;Basse-Kotto
CF;HK;Haute-Kotto
CF;HM;Haut-Mbomou
CF;HS;Mambéré-Kadéï
CF;KB;Gribingui
CF;KG;Kémo-Gribingui
CF;LB;Lobaye
CF;MB;Mbomou
CF;MP;Ombella-Mpoko
CF;NM;Nana-Mambéré
CF;OP;Ouham-Pendé
CF;SE;Sangha
CF;UK;Ouaka
CF;VK;Vakaga
CG;11;Bouenza
CG;12;Pool
CG;13;Sangha
CG;14;Plateaux
CG;15;Cuvette-Ouest
CG;16;Pointe-Noire
CG;2;Lékoumou
CG;5;Kouilou
CG;7;Likouala
CG;8;Cuvette
CG;9;Niari
CG;BZV;Brazzaville
CH;AG;Aargau
CH;AI;Inner-Rhoden
CH;AR;Ausser-Rhoden
CH;BE;Bern
CH;BL;BaselLand
CH;BS;BaselStadt
CH;FR;Fribourg
CH;GE;Geneva
CH;GL;Glarus
CH;GR;Graubuenden
CH;JU;Jura
CH;LU;Lucerne
CH;NE;Neuchatel
CH;NW;Nidwalden
CH;OW;Obwalden
CH;SG;St.Gallen
CH;SH;Schaffhausen
CH;SO;Solothurn
CH;SZ;Schwyz
CH;TG;Thurgau
CH;TI;Ticino
CH;UR;Uri
CH;VD;Vaud
CH;VS;Valais
CH;ZG;Zug
CH;ZH;Zurich
CI;AB;Abidjan
CI;BS;Bas-Sassandra
CI;CM;Comoé
CI;DN;Denguélé
CI;GD;Gôh-Djiboua
CI;LC;Lacs
CI;LG;Lagunes
CI;MG;Montagnes
CI;SM;Sassandra-Marahoué
CI;SV;Savanes
CI;VB;ValléeduBandama
CI;WR;Woroba
CI;YM;Yamoussoukro
CI;ZZ;Zanzan
CL;01;I-Iquique
CL;02;II-Antofagasta
CL;03;III-Copiapo
CL;04;IV-LaSerena
CL;05;V-Valparaiso
CL;06;VI-Rancagua
CL;07;VII-Talca
CL;08;VIII-Concepcion
CL;09;IX-Temuco
CL;10;X-PuertoMontt
CL;11;XI-Coyhaique
CL;12;XII-PuntaArenas
CL;13;RM-Santiago
CL;14;XIV-Valdivia
CL;15;XV-Arica
CL;AI;RegiondeAysen
CL;AN;Antofagasta
CL;AP;AricayParinacota
CL;AR;Araucania
CL;AT;Atacama
CL;BI;Bio-Bio
CL;CO;Coquimbo
CL;LI;O'HigginsRegion
CL;LL;LosLagos
CL;LR;LosRios
CL;MA;Magallanes
CL;ML;Maule
CL;NB;Ñuble
CL;RM;Santiago
CL;TA;Tarapaca
CL;VS;Valparaiso
CM;AD;Adamaoua
CM;CE;Centre
CM;EN;FarNorth
CM;ES;East
CM;LT;Littoral
CM;NO;North
CM;NW;North-West
CM;OU;West
CM;SU;South
CM;SW;South-West
CN;010;Beijing
CN;020;Shanghai
CN;030;Tianjin
CN;040;NeiMongol
CN;050;Shanxi
CN;060;Hebei
CN;070;Liaoning
CN;080;Jilin
CN;090;Heilongjiang
CN;100;Jiangsu
CN;110;Anhui
CN;120;Shandong
CN;130;Zhejiang
CN;140;Jiangxi
CN;150;Fujian
CN;160;Hunan
CN;170;Hubei
CN;180;Henan
CN;190;Guangdong
CN;200;Hainan
CN;210;Guangxi
CN;220;Guizhou
CN;230;Sichuan
CN;240;Yunnan
CN;250;Shaanxi
CN;260;Gansu
CN;270;Ningxia
CN;280;Qinghai
CN;290;Xinjiang
CN;300;Xizang
CN;320;ChongQing
CN;330;HongKong
CN;340;Macao
CN;AH;Anhui
CN;BJ;Beijing
CN;CQ;Chongqing
CN;FJ;Fujian
CN;GD;Guangdong
CN;GS;Gansu
CN;GX;Guangxi
CN;GZ;Guizhou
CN;HA;Henan
CN;HB;Hubei
CN;HE;Hebei
CN;HI;Hainan
CN;HK;HongKong
CN;HL;Heilongjiang
CN;HN;Hunan
CN;JL;Jilin
CN;JS;Jiangsu
CN;JX;Jiangxi
CN;LN;Liaoning
CN;MO;Macao
CN;NM;NeiMongol
CN;NX;Ningxia
CN;QH;Qinghai
CN;SC;Sichuan
CN;SD;Shandong
CN;SH;Shanghai
CN;SN;Shaanxi
CN;SX;Shanxi
CN;TJ;Tianjin
CN;TW;Taiwan
CN;XJ;Xinjiang
CN;XZ;Xizang
CN;YN;Yunnan
CN;ZJ;Zhejiang
CO;05;ANTIOQUIA
CO;08;ATLANTICO
CO;11;BOGOTA
CO;13;BOLIVAR
CO;15;BOYACA
CO;17;CALDAS
CO;18;CAQUETA
CO;19;CAUCA
CO;20;CESAR
CO;23;CORDOBA
CO;25;CUNDINAMARCA
CO;27;CHOCO
CO;41;HUILA
CO;44;LAGUAJIRA
CO;47;MAGDALENA
CO;50;META
CO;52;NARINO
CO;54;NORTESANTANDER
CO;63;QUINDIO
CO;66;RISARALDA
CO;68;SANTANDER
CO;70;SUCRE
CO;73;TOLIMA
CO;76;VALLE
CO;81;ARAUCA
CO;85;CASANARE
CO;86;PUTUMAYO
CO;88;SANANDRES
CO;91;AMAZONAS
CO;94;GUAINIA
CO;95;GUAVIARE
CO;97;VAUPES
CO;99;VICHADA
CR;A;Alajuela
CR;C;Cartago
CR;G;Guanacaste
CR;H;Heredia
CR;L;Limón
CR;P;Puntarenas
CR;SJ;SanJosé
CU;01;PinardelRío
CU;03;LaHabana
CU;04;Matanzas
CU;05;VillaClara
CU;06;Cienfuegos
CU;07;SanctiSpíritus
CU;08;CiegodeÁvila
CU;09;Camagüey
CU;10;LasTunas
CU;11;Holguín
CU;12;Granma
CU;13;SantiagodeCuba
CU;14;Guantánamo
CU;15;Artemisa
CU;16;Mayabeque
CU;99;IsladelaJuventud
CV;BR;Brava
CV;BV;BoaVista
CV;CA;SantaCatarina
CV;CF;StCatarinadoFogo
CV;CR;SantaCruz
CV;MA;Maio
CV;MO;Mosteiros
CV;PA;Paul
CV;PN;PortoNovo
CV;PR;Praia
CV;RB;RibeiraBrava
CV;RG;RibeiraGrande
CV;RS;RibeiraGr.Santiago
CV;SD;SãoDomingos
CV;SF;SãoFilipe
CV;SL;Sal
CV;SM;SãoMiguel
CV;SO;SãoLourençoÓrgãos
CV;SS;SãoSalvadorMundo
CV;SV;SãoVicente
CV;TA;Tarrafal
CV;TS;TarrafalSãoNicolau
CY;01;Nicosia
CY;02;Limassol
CY;03;Larnaca
CY;04;Famagusta
CY;05;Paphos
CY;06;Kyrenia
CZ;10;Praha
CZ;11;Praha
CZ;20;Stredocesky
CZ;21;Stredocesky
CZ;31;Jihocesky
CZ;32;Plzensky
CZ;41;Karlovarsky
CZ;42;Ustecky
CZ;51;Liberecky
CZ;52;Kralovehradecky
CZ;53;Pardubicky
CZ;63;Vysocina
CZ;64;Jihomoravsky
CZ;71;Olomoucky
CZ;72;Zlinsky
CZ;80;Moravskoslezsky
CZ;81;Moravskoslezsky
DE;01;Schleswig-Holstein
DE;02;Hamburg
DE;03;LowerSaxony
DE;04;Bremen
DE;05;NrthRhineWestfalia
DE;06;Hessen
DE;07;RhinelandPalatinate
DE;08;Baden-Wurttemberg
DE;09;Bavaria
DE;10;Saarland
DE;11;Berlin
DE;12;Brandenburg
DE;13;Mecklenburg-Vorpomm.
DE;14;Saxony
DE;15;Saxony-Anhalt
DE;16;Thuringia
DE;BB;Brandenburg
DE;BE;Berlin
DE;BW;Baden-Wuerttemberg
DE;BY;Bavaria
DE;HB;Bremen
DE;HE;Hessen
DE;HH;Hamburg
DE;MV;Mecklenburg-Vorpomm.
DE;NI;LowerSaxony
DE;NW;NrthRhineWestfalia
DE;RP;RhinelandPalatinate
DE;SH;Schleswig-Holstein
DE;SL;Saarland
DE;SN;Saxony
DE;ST;Saxony-Anhalt
DE;TH;Thuringia
DJ;AR;Arta
DJ;AS;AliSabieh
DJ;DI;Dikhil
DJ;DJ;Djibouti
DJ;OB;Obock
DJ;TA;Tadjourah
DK;001;DanishCapitalReg.
DK;002;CentralJutland
DK;003;NorthJutland
DK;004;Zealand
DK;005;SouthDenmark
DK;81;NorthDenmark
DK;82;CentralDenmark
DK;83;SouthDenmark
DK;84;DanishCapitalReg.
DK;85;Zealand
DM;02;SaintAndrew
DM;03;SaintDavid
DM;04;SaintGeorge
DM;05;SaintJohn
DM;06;SaintJoseph
DM;07;SaintLuke
DM;08;SaintMark
DM;09;SaintPatrick
DM;10;SaintPaul
DM;11;SaintPeter
DO;01;DistritoNacional
DO;02;Azua
DO;03;Baoruco
DO;04;Barahona
DO;05;Dajabón
DO;06;Duarte
DO;07;ElíasPiña
DO;08;ElSeibo
DO;09;Espaillat
DO;10;Independencia
DO;11;LaAltagracia
DO;12;LaRomana
DO;13;LaVega
DO;14;MaríaTrinidadSánch
DO;15;MonteCristi
DO;16;Pedernales
DO;17;Peravia
DO;18;PuertoPlata
DO;19;HermanasMirabal
DO;20;Samaná
DO;21;SanCristóbal
DO;22;SanJuan
DO;23;SanPedrodeMacorís
DO;24;SánchezRamírez
DO;25;Santiago
DO;26;SantiagoRodríguez
DO;27;Valverde
DO;28;MonseñorNouel
DO;29;MontePlata
DO;30;HatoMayor
DO;31;SanJosédeOcoa
DO;32;SantoDomingo
DZ;01;Adrar
DZ;02;Chlef
DZ;03;Laghouat
DZ;04;OumelBouaghi
DZ;05;Batna
DZ;06;Bejaia
DZ;07;Biskra
DZ;08;Bechar
DZ;09;Blida
DZ;10;Bouira
DZ;11;Tamanrasset
DZ;12;Tebessa
DZ;13;Tlemcen
DZ;14;Tiaret
DZ;15;TiziOuzou
DZ;16;Algier
DZ;17;Djelfa
DZ;18;Jijel
DZ;19;Setif
DZ;20;Saida
DZ;21;Skikda
DZ;22;SidiBelAbbès
DZ;23;Annaba
DZ;24;Guelma
DZ;25;Constantine
DZ;26;Medea
DZ;27;Mostaganem
DZ;28;M'Sila
DZ;29;Muaskar
DZ;30;Ouargla
DZ;31;Oran
DZ;32;ElBayadh
DZ;33;Illizi
DZ;34;BordjBouArreridj
DZ;35;Boumerdes
DZ;36;ElTarf
DZ;37;Tindouf
DZ;38;Tissemsilt
DZ;39;ElOued
DZ;40;Khenchela
DZ;41;SoukAhras
DZ;42;Tipaza
DZ;43;Mila
DZ;44;AinDefla
DZ;45;Naama
DZ;46;AinTemouchent
DZ;47;Ghardaia
DZ;48;Relizane
EC;A;Azuay
EC;B;Bolívar
EC;C;Carchi
EC;D;Orellana
EC;E;Esmeraldas
EC;F;Cañar
EC;G;Guayas
EC;H;Chimborazo
EC;I;Imbabura
EC;L;Loja
EC;M;Manabí
EC;N;Napo
EC;O;ElOro
EC;P;Pinchicha
EC;R;LosRíos
EC;S;MoronaSantiago
EC;SD;StDomingoTsáchilas
EC;SE;SantaElena
EC;T;Tungurahua
EC;U;Sucumbíos
EC;W;Galápagos
EC;X;Cotopaxi
EC;Y;Pastaza
EC;Z;ZamoraChinchipe
EE;37;Harju
EE;39;Hiiu
EE;44;Ida-Viru
EE;49;Jõgeva
EE;51;Järva
EE;57;Lääne
EE;59;Lääne-Viru
EE;65;Põlva
EE;67;Pärnu
EE;70;Rapla
EE;74;Saare
EE;78;Tartu
EE;82;Valga
EE;84;Viljandi
EE;86;Võru
EG;01;Cairo
EG;02;Giza
EG;03;AlSharqia
EG;04;Dakahlia
EG;05;Beheira
EG;06;Qalyubia
EG;07;Minya
EG;08;Alexandria
EG;09;Gharbia
EG;10;Sohag
EG;11;Asyut
EG;12;Monufia
EG;13;Qena
EG;14;KafrEl-Sheikh
EG;15;Faiyum
EG;16;BeniSuef
EG;17;Aswan
EG;18;Damietta
EG;19;Ismailia
EG;20;PortSaid
EG;21;Suez
EG;22;Luxor
EG;23;NorthSinai
EG;24;Matruh
EG;25;RedSea
EG;26;NewValley
EG;27;SouthSinai
EG;ALX;Alexandria
EG;ASN;Aswan
EG;AST;Asyut
EG;BA;RedSea
EG;BH;Beheira
EG;BNS;BeniSuef
EG;C;Cairo
EG;DK;Dakahlia
EG;DT;Damietta
EG;FYM;Faiyum
EG;GH;Gharbia
EG;GZ;Giza
EG;IS;Ismailia
EG;JS;SouthSinai
EG;KB;Qalyubia
EG;KFS;Kafrel-Sheikh
EG;KN;Qena
EG;LX;Luxor
EG;MN;Minya
EG;MNF;Monufia
EG;MT;Matrouh
EG;PTS;PortSaid
EG;SHG;Sohag
EG;SHR;AlSharqia
EG;SIN;NorthSinai
EG;SUZ;Suez
EG;WAD;NewValley
ER;AN;Anseba
ER;DK;SouthernRedSea
ER;DU;Debub
ER;GB;Gash-Barka
ER;MA;Maekel
ER;SK;NorthernRedSea
ES;01;Alava
ES;02;Albacete
ES;03;Alicante
ES;04;Almeria
ES;05;Avila
ES;06;Badajoz
ES;07;Baleares
ES;08;Barcelona
ES;09;Burgos
ES;10;Caceres
ES;11;Cadiz
ES;12;Castellon
ES;13;CiudadReal
ES;14;Cordoba
ES;15;LaCoruna
ES;16;Cuenca
ES;17;Gerona
ES;18;Granada
ES;19;Guadalajara
ES;20;Guipuzcoa
ES;21;Huelva
ES;22;Huesca
ES;23;Jaen
ES;24;Leon
ES;25;Lerida
ES;26;LaRioja
ES;27;Lugo
ES;28;Madrid
ES;29;Malaga
ES;30;Murcia
ES;31;Navarra
ES;32;Orense
ES;33;Asturias
ES;34;Palencia
ES;35;LasPalmas
ES;36;Pontevedra
ES;37;Salamanca
ES;38;Sta.CruzTenerife
ES;39;Cantabria
ES;40;Segovia
ES;41;Sevilla
ES;42;Soria
